"status","bed","bath","acre_lot","city","state","zip_code","house_size","price"
"for_sale",2,3,13.613473315734,"Marlborough","Massachusetts",1752,2268,379900
"for_sale",4,4,10,"Marlborough","Massachusetts",1752,5201,1399000
"for_sale",3,1,0.96,"Townsend","Massachusetts",1469,1210,329900
"for_sale",4,3,1.11,"Nashua","New Hampshire",3062,2388,299000
"for_sale",3.70101265822784,2.49459473852367,4.54,"Northborough","Massachusetts",1532,2180.08173730064,287000
"for_sale",2,1,13.613473315734,"Framingham","Massachusetts",1702,1275,325000
"for_sale",2,2,13.613473315734,"Westborough","Massachusetts",1581,1121,404900
"for_sale",3.70101265822784,2.49459473852367,0.27,"Lowell","Massachusetts",1852,2180.08173730064,199900
"for_sale",4,4,1.1,"Hudson","New Hampshire",3051,3472,696225
"for_sale",2,1,0.54,"Wellesley","Massachusetts",2482,1303,1195000
"for_sale",4,3,1.05,"Billerica","Massachusetts",1821,3161,1250000
"for_sale",6,10,1.38,"Weston","Massachusetts",2493,10000,5400000
"for_sale",3.70101265822784,2.49459473852367,1.74,"Shrewsbury","Massachusetts",1545,2180.08173730064,485000
"for_sale",4,5,0.93,"Weston","Massachusetts",2493,4896,3500000
"for_sale",3.70101265822784,2.49459473852367,1.17,"Framingham","Massachusetts",1701,2180.08173730064,5e+05
"for_sale",3.70101265822784,2.49459473852367,1.68,"Shrewsbury","Massachusetts",1545,2180.08173730064,465000
"for_sale",3.70101265822784,2.49459473852367,1.06,"Framingham","Massachusetts",1701,2180.08173730064,5e+05
"for_sale",3.70101265822784,2.49459473852367,1.6,"Framingham","Massachusetts",1701,2180.08173730064,599000
"for_sale",3.70101265822784,2.49459473852367,1.6,"Framingham","Massachusetts",1701,2180.08173730064,559000
"for_sale",3.70101265822784,2.49459473852367,1.6,"Framingham","Massachusetts",1701,2180.08173730064,575000
"for_sale",3.70101265822784,2.49459473852367,1.03,"Framingham","Massachusetts",1701,2180.08173730064,575000
"for_sale",1,2,13.613473315734,"Concord","Massachusetts",1742,895,699000
"for_sale",3.70101265822784,2.49459473852367,1.44,"Weston","Massachusetts",2493,2180.08173730064,1795000
"for_sale",6,4,1.71,"Burlington","Massachusetts",1803,3036,1250000
"for_sale",3.70101265822784,2.49459473852367,0.56,"Waltham","Massachusetts",2453,2180.08173730064,397000
"for_sale",4,3,3.95,"Boxborough","Massachusetts",1719,3200,1150000
"for_sale",3.70101265822784,2.49459473852367,12.12,"Peterborough","New Hampshire",3458,2180.08173730064,150000
"for_sale",3.70101265822784,2.49459473852367,2.1,"Wilton","New Hampshire",3086,2180.08173730064,89900
"for_sale",3,3,0.5,"Nashua","New Hampshire",3062,2738,699900
"for_sale",2,2,13.613473315734,"Londonderry","New Hampshire",3053,1658,632900
"for_sale",3.70101265822784,2.49459473852367,11.05,"Amherst","New Hampshire",3031,2180.08173730064,295000
"for_sale",3.70101265822784,2.49459473852367,1.32,"Bedford","New Hampshire",3110,2180.08173730064,199900
"for_sale",3.70101265822784,2.49459473852367,2.21,"Hollis","New Hampshire",3049,2180.08173730064,230000
"for_sale",3.70101265822784,2.49459473852367,0.12,"Nashua","New Hampshire",3064,2180.08173730064,125000
